aggregate_category,attribute_category,expression,english_translation,notes
Inconvenient Hours,Weekend/Evening/Night Work,nattvakter,night watches,
Inconvenient Hours,Weekend/Evening/Night Work,ettermiddagane,the afternoons,
Inconvenient Hours,Weekend/Evening/Night Work,døgnvakter,24-hour shifts,
Inconvenient Hours,Weekend/Evening/Night Work,lørd,satu,Misspelling
Inconvenient Hours,Weekend/Evening/Night Work,nattkøyring,night driving,
Inconvenient Hours,Weekend/Evening/Night Work,nattsjukepleiar,night nurse,
Inconvenient Hours,Weekend/Evening/Night Work,natturnus,night shift,
Inconvenient Hours,Weekend/Evening/Night Work,nattillegg,night supplement,
Inconvenient Hours,Weekend/Evening/Night Work,helgen,the weekend,
Inconvenient Hours,Weekend/Evening/Night Work,senvakt,late shift,
Inconvenient Hours,Weekend/Evening/Night Work,nattsykepleier,night nurse,
Inconvenient Hours,Weekend/Evening/Night Work,nattpatrulje,night patrol,
Inconvenient Hours,Weekend/Evening/Night Work,vaken,awake,
Inconvenient Hours,Weekend/Evening/Night Work,døgnturnus,24-hour shift,
Inconvenient Hours,Weekend/Evening/Night Work,helgestilling,weekend position,
Inconvenient Hours,Weekend/Evening/Night Work,aftanvakter,evening shifts,
Inconvenient Hours,Weekend/Evening/Night Work,helgedag,weekend,
Inconvenient Hours,Weekend/Evening/Night Work,nattevaktsstilling,night shift position,
Inconvenient Hours,Weekend/Evening/Night Work,natt,night,
Inconvenient Hours,Weekend/Evening/Night Work,helgehjelp,weekend help,
Inconvenient Hours,Weekend/Evening/Night Work,heilagdag,saint's day,
Inconvenient Hours,Weekend/Evening/Night Work,kveldstid,evening time,
Inconvenient Hours,Weekend/Evening/Night Work,lørdagsvakter,Saturday shifts,
Inconvenient Hours,Weekend/Evening/Night Work,våken,awake,
Inconvenient Hours,Weekend/Evening/Night Work,laurdagshjelp,Saturday help,
Inconvenient Hours,Weekend/Evening/Night Work,aftanvakt,evening shift,
Inconvenient Hours,Weekend/Evening/Night Work,kveldsstilling,evening position,
Inconvenient Hours,Weekend/Evening/Night Work,ettermiddagsvakt,afternoon shift,
Inconvenient Hours,Weekend/Evening/Night Work,helligdager,public holidays,
Inconvenient Hours,Weekend/Evening/Night Work,ettermiddagsarbeid,afternoon work,
Inconvenient Hours,Weekend/Evening/Night Work,senvakter,late shifts,
Inconvenient Hours,Weekend/Evening/Night Work,ettermiddagene,the afternoons,
Inconvenient Hours,Weekend/Evening/Night Work,nattevakts,night shift,
Inconvenient Hours,Weekend/Evening/Night Work,helger,weekends,
Inconvenient Hours,Weekend/Evening/Night Work,nattkjøring,night driving,
Inconvenient Hours,Weekend/Evening/Night Work,helgestillinger,weekend positions,
Inconvenient Hours,Weekend/Evening/Night Work,helgarbeid,weekend work,
Inconvenient Hours,Weekend/Evening/Night Work,søndagar,Sundays,
Inconvenient Hours,Weekend/Evening/Night Work,helgevakter,weekend shifts,
Inconvenient Hours,Weekend/Evening/Night Work,nattevaktene,the night watches,
Inconvenient Hours,Weekend/Evening/Night Work,kveldsarbeid,evening work,
Inconvenient Hours,Weekend/Evening/Night Work,nattstillingar,night positions,
Inconvenient Hours,Weekend/Evening/Night Work,heilagdagsarbeid,holiday work,
Inconvenient Hours,Weekend/Evening/Night Work,arbeidshelger,working weekends,
Inconvenient Hours,Weekend/Evening/Night Work,helgeavløysarar,weekend breaks,
Inconvenient Hours,Weekend/Evening/Night Work,helgemedarbeidar,weekend employee,
Inconvenient Hours,Weekend/Evening/Night Work,helga,the weekend,
Inconvenient Hours,Weekend/Evening/Night Work,ettermiddagen,the afternoon,
Inconvenient Hours,Weekend/Evening/Night Work,helgekjøring,weekend driving,
Inconvenient Hours,Weekend/Evening/Night Work,laurdagsvakt,Saturday shift,
Inconvenient Hours,Weekend/Evening/Night Work,netter,nights,
Inconvenient Hours,Weekend/Evening/Night Work,helgene,the weekends,
Inconvenient Hours,Weekend/Evening/Night Work,helgevakt,weekend shift,
Inconvenient Hours,Weekend/Evening/Night Work,helgeavløser,weekend replacement,
Inconvenient Hours,Weekend/Evening/Night Work,kveldsskift,evening shift,
Inconvenient Hours,Weekend/Evening/Night Work,seinvakter,late shifts,
Inconvenient Hours,Weekend/Evening/Night Work,helgeskift,weekend shift,
Inconvenient Hours,Weekend/Evening/Night Work,ettermiddags,afternoon,
Inconvenient Hours,Weekend/Evening/Night Work,langvakt,long guard,
Inconvenient Hours,Weekend/Evening/Night Work,laurdagsarbeid,Saturday work,
Inconvenient Hours,Weekend/Evening/Night Work,aftenvakter,evening shifts,
Inconvenient Hours,Weekend/Evening/Night Work,søndager,Sundays,
Inconvenient Hours,Weekend/Evening/Night Work,laurdagsvakter,Saturday shifts,
Inconvenient Hours,Weekend/Evening/Night Work,helgemedarbeider,weekend employee,
Inconvenient Hours,Weekend/Evening/Night Work,laurdags,Saturday,
Inconvenient Hours,Weekend/Evening/Night Work,helgejobbing,weekend work,
Inconvenient Hours,Weekend/Evening/Night Work,aften,evening,
Inconvenient Hours,Weekend/Evening/Night Work,laurdag,Saturday,
Inconvenient Hours,Weekend/Evening/Night Work,helgevakttilling,weekend shift,
Inconvenient Hours,Weekend/Evening/Night Work,kveldar,evenings,
Inconvenient Hours,Weekend/Evening/Night Work,helgestillingar,weekend positions,
Inconvenient Hours,Weekend/Evening/Night Work,helgevaktstilling,weekend shift position,
Inconvenient Hours,Weekend/Evening/Night Work,helgetjeneste,weekend service,
Inconvenient Hours,Weekend/Evening/Night Work,kvilande,quivering,
Inconvenient Hours,Weekend/Evening/Night Work,nattvakt,night watch,
Inconvenient Hours,Weekend/Evening/Night Work,aftenvakt,evening shift,
Inconvenient Hours,Weekend/Evening/Night Work,døgntjeneste,24-hour service,
Inconvenient Hours,Weekend/Evening/Night Work,nattestid,night time,
Inconvenient Hours,Weekend/Evening/Night Work,ettermiddagstid,afternoon time,
Inconvenient Hours,Weekend/Evening/Night Work,ettermiddagsvakter,afternoon shifts,
Inconvenient Hours,Weekend/Evening/Night Work,natteneste,last night,
Inconvenient Hours,Weekend/Evening/Night Work,helgearbeid,weekend work,
Inconvenient Hours,Weekend/Evening/Night Work,helg,weekend,
Inconvenient Hours,Weekend/Evening/Night Work,søn,Sun,Misspelling
Inconvenient Hours,Weekend/Evening/Night Work,heilagdagar,holy days,
Inconvenient Hours,Weekend/Evening/Night Work,døgnteneste,24-hour service,
Inconvenient Hours,Weekend/Evening/Night Work,helgeavløsere,weekend replacements,
Inconvenient Hours,Weekend/Evening/Night Work,nattstillinger,night positions,
Inconvenient Hours,Weekend/Evening/Night Work,nattskift,night shift,
Inconvenient Hours,Weekend/Evening/Night Work,ettermiddager,afternoons,
Inconvenient Hours,Weekend/Evening/Night Work,sundag,Sunday,
Inconvenient Hours,Weekend/Evening/Night Work,arbeidshelg,working weekend,
Inconvenient Hours,Weekend/Evening/Night Work,natterstid,night time,
Inconvenient Hours,Weekend/Evening/Night Work,kveldene,the evenings,
Inconvenient Hours,Weekend/Evening/Night Work,høgtidsdagar,feast days,
Inconvenient Hours,Weekend/Evening/Night Work,kveldsvakt,evening shift,
Inconvenient Hours,Weekend/Evening/Night Work,nattjenesten,the night service,
Inconvenient Hours,Weekend/Evening/Night Work,helgeteneste,weekend service,
Inconvenient Hours,Weekend/Evening/Night Work,hvilende,resting,
Inconvenient Hours,Weekend/Evening/Night Work,nattestilling,night position,
Inconvenient Hours,Weekend/Evening/Night Work,nattpatruljen,the night patrol,
Inconvenient Hours,Weekend/Evening/Night Work,nattevaktstillingar,night shift positions,
Inconvenient Hours,Weekend/Evening/Night Work,nattenesta,last night,
Inconvenient Hours,Weekend/Evening/Night Work,langvakter,long guards,
Inconvenient Hours,Weekend/Evening/Night Work,kvelds,evening,
Inconvenient Hours,Weekend/Evening/Night Work,søndagsvakter,Sunday shifts,
Inconvenient Hours,Weekend/Evening/Night Work,lørdags,on Saturdays,
Inconvenient Hours,Weekend/Evening/Night Work,helgedager,weekends,
Inconvenient Hours,Weekend/Evening/Night Work,helgstilling,weekend position,
Inconvenient Hours,On-call Employment,tilkalling,on-call,
Inconvenient Hours,On-call Employment,tilkallingsvikarer,on-call substituts,
Inconvenient Hours,On-call Employment,timevikarer,hourly substitute,
Inconvenient Hours,On-call Employment,timevikarar,hourly substitute,
Inconvenient Hours,On-call Employment,timehjelper,hourly helper,
Inconvenient Hours,On-call Employment,timehjelpar,hourly helper,
Inconvenient Hours,On-call Employment,tillkallingsvikarer,on-call substitutes,
Inconvenient Hours,On-call Employment,tilkallingsassistent,on-call assistant,
Inconvenient Hours,On-call Employment,tilkallingsvakt,on-call assistant,
Inconvenient Hours,On-call Employment,tilkallingssjåførar,on-call drivers,
Inconvenient Hours,On-call Employment,tilkallingshjelper,on-call assistant,
Inconvenient Hours,On-call Employment,tilkallingsassistentar,the on-call assistants,
Inconvenient Hours,On-call Employment,beredskapsvikarar,on-call assistant,
Inconvenient Hours,On-call Employment,tilkallingsvikar,on-call substitute,
Inconvenient Hours,On-call Employment,ekstrahjelp,on-call assistant,
Inconvenient Hours,On-call Employment,tillkallingsvikar,on-call substitute,
Inconvenient Hours,On-call Employment,ringehjelp,on-call assistant,
Inconvenient Hours,On-call Employment,tilkallingshjelpar,on-call assistants,
Inconvenient Hours,On-call Employment,beredskapsvikarer,on-call assistant,
Inconvenient Hours,On-call Employment,tilkallingshjelp,on-call assistant,
Inconvenient Hours,On-call Employment,tilkallings,on-call,
Inconvenient Hours,On-call Employment,tilkallingsvikarar,on-call substitutes,
Inconvenient Hours,On-call Employment,ringjehjelp,on-call assistant,
Inconvenient Hours,On-call Employment,tilkallingsassistenter,on-call assistants,
Inconvenient Hours,On-call Employment,ringevikar,on-call assistant,
Inconvenient Hours,On-call Employment,timetilsett,hourly employee,
Inconvenient Hours,On-call Employment,ekstravakter,on-call assistants,
Inconvenient Hours,On-call Employment,ringevikarar,on-call assistant,
Inconvenient Hours,On-call Employment,tilkallingsvikariat,on-call substitute,
Inconvenient Hours,On-call Employment,tillkallingshjelp,on-call substitute,
Inconvenient Hours,On-call Employment,tilkallingvikar,on-call substitute,
Inconvenient Hours,On-call Employment,ringjevikar,on-call assistant,
Inconvenient Hours,Overtime Work Required,overtid kan forekomme,overtime may occur,
Inconvenient Hours,Overtime Work Required,overtid må påreknast,overtime must be charged,
Inconvenient Hours,Overtime Work Required,overtidsarbeid,overtime work,
Inconvenient Hours,Overtime Work Required,påregnes noe overtid,some overtime is expected,
Inconvenient Hours,Overtime Work Required,overtid kan finnast,overtime may apply,
Inconvenient Hours,Overtime Work Required,noe overtid,some overtime,
Inconvenient Hours,Overtime Work Required,overtid i periodar,overtime in periods,
Inconvenient Hours,Overtime Work Required,overtid kan påregnes,overtime may be expected,
Inconvenient Hours,Overtime Work Required,overtid i perioder,overtime in periods,
Inconvenient Hours,Overtime Work Required,overtidsjobbing,overtime work,
Inconvenient Hours,Overtime Work Required,noko overtid,some overtime,
Inconvenient Hours,Overtime Work Required,overtid må påregnes,overtime must be calculated,
Inconvenient Hours,Overtime Work Required,overtid må påberegnes,overtime must be calculated,
Inconvenient Hours,Overtime Work Required,overtid kan påreknast,overtime may be charged,
Contract Duration,Permanent Job,fast tilsetning,permanent employment,
Contract Duration,Permanent Job,fast ansattelse,permanent employment,
Contract Duration,Permanent Job,fast tilsettelse,permanent appointment,
Contract Duration,Permanent Job,fasttilsetjing,permanent appointment,
Contract Duration,Permanent Job,fast tilsetjing,permanent employment,
Contract Duration,Permanent Job,fastansettelse,permanent employment,
Contract Duration,Permanent Job,fast stiling,permanent employment,
Contract Duration,Permanent Job,fast stilling,permanent employment,
Contract Duration,Permanent Job,fast tilsetting,permanent appointment,
Contract Duration,Permanent Job,fast ansettelse,permanent employment,
Contract Duration,Permanent Job,stilling fast,permanent employment,
Contract Duration,Permanent Job,faststilling,permanent employment,
Contract Duration,Temporary Job,ferieavløser,holiday substitute,
Contract Duration,Temporary Job,vikar,substitute,
Contract Duration,Temporary Job,tidsavgrensa,time limit,
Contract Duration,Temporary Job,engasjementsstilling,temporary position,
Contract Duration,Temporary Job,permisjonsvikariat,temporary leave substitute,
Contract Duration,Temporary Job,sykepleiervikariat,substitute nurse,
Contract Duration,Temporary Job,vikarat,substitute job,Misspelling
Contract Duration,Temporary Job,vikarlærar,substitute teacher,
Contract Duration,Temporary Job,undervisningsvikariat,temporary teaching substitute position,
Contract Duration,Temporary Job,laurdagsvikar,Saturday substitute,
Contract Duration,Temporary Job,lærervikar,substitute teacher,
Contract Duration,Temporary Job,vaktmestervikar,janitor substitute,
Contract Duration,Temporary Job,ferievikarer,holiday temporary workers,
Contract Duration,Temporary Job,ett års vikariat,one-year temporary position,
Contract Duration,Temporary Job,sommarvikar,summer substitute,
Contract Duration,Temporary Job,vikariatstillinger,substitute positions,
Contract Duration,Temporary Job,eitt års vikariat,one-year temporary position,
Contract Duration,Temporary Job,vikarstilling,substitute-position,
Contract Duration,Temporary Job,ferievikariat,holiday substitute,
Contract Duration,Temporary Job,sjukevikar,sick leave substitute,
Contract Duration,Temporary Job,sykevikariat,parental leave substitute,
Contract Duration,Temporary Job,åremål,one year fixed term,
Contract Duration,Temporary Job,oppdragsstilling,assignment position,
Contract Duration,Temporary Job,svangerskapsvik,miscarriage,
Contract Duration,Temporary Job,vikarar,substitutes,
Contract Duration,Temporary Job,mellombels jobb,temporary job,
Contract Duration,Temporary Job,sjukevikariat,sick leave substitute,
Contract Duration,Temporary Job,prosjektstilling,project based position,
Contract Duration,Temporary Job,åremålsperiode,fixed term period,
Contract Duration,Temporary Job,vikariater,substitutes,
Contract Duration,Temporary Job,midlertidig stilling,temporary position,
Contract Duration,Temporary Job,svangeskapsvikariat,parental leave substitute,
Contract Duration,Temporary Job,sjukepleiarvikariat,substitute nurse,
Contract Duration,Temporary Job,årsvikariat,one year substitute,
Contract Duration,Temporary Job,renholdsvikar,cleaning substitute,
Contract Duration,Temporary Job,ferieavløysar,holiday substitute,
Contract Duration,Temporary Job,midlertidig jobb,temporary job,
Contract Duration,Temporary Job,mellombels stilling,temporary position,
Contract Duration,Temporary Job,svangerskapvikariat,parental leave substitute,
Contract Duration,Temporary Job,legevikar,substitute physician,
Contract Duration,Temporary Job,langtidssjukevikariat,long-term sick leave substitute,
Contract Duration,Temporary Job,fødselsvikariat,parental leave substitute,
Contract Duration,Temporary Job,utdanningsvikariat,teaching substitute,
Contract Duration,Temporary Job,vikariatstillingar,substitute positions,
Contract Duration,Temporary Job,ferievikarar,holiday temporary workers,
Contract Duration,Temporary Job,lærarvikarar,substitute teachers,
Contract Duration,Temporary Job,vikariatet,the substitute job,
Contract Duration,Temporary Job,reinhaldsvikar,cleaning substitute,
Contract Duration,Temporary Job,sesonghjelp,seasonal help,
Contract Duration,Temporary Job,tidsbegrenset,time limited,
Contract Duration,Temporary Job,viakriat,substitute,Misspelling
Contract Duration,Temporary Job,vikariatstilling,substitute position,
Contract Duration,Temporary Job,vaktmeistervikar,janitor substitute,
Contract Duration,Temporary Job,lærervikarer,substitute teachers,
Contract Duration,Temporary Job,lærarvikar,substitute teacher,
Contract Duration,Temporary Job,ferievikar,holiday substitute,
Contract Duration,Temporary Job,vikarlærer,substitute teacher,
Contract Duration,Temporary Job,foreldrepermisjonsvikariat,parental leave substitute,
Contract Duration,Temporary Job,svangerskapsvikariat,parental leave substitute,
Contract Duration,Temporary Job,vikarjobb,substitute job,
Contract Duration,Temporary Job,sommervikar,summer substitute,
Contract Duration,Temporary Job,sykevikar,parental leave substitute,
Contract Duration,Temporary Job,langtidssykevikariat,long-term sick leave substitute,
Contract Duration,Temporary Job,fastlegevikariat,substitute GP,
Contract Duration,Temporary Job,engasjementstilling,temporary position,
Contract Duration,Temporary Job,svangeskapvikariat,parental leave substitute,
Contract Duration,Temporary Job,vikariat,substitute job,
Contract Duration,Temporary Job,lørdagsvikar,Saturday substitute,
Contract Duration,Fixed-term Contract,åremålsstillinga,the fixed term position,
Contract Duration,Fixed-term Contract,åremålsperioden,the fixed term period,
Contract Duration,Fixed-term Contract,åremålsstillingar,fixed term positions,
Contract Duration,Fixed-term Contract,åremålsstilling,fixed term position,
Contract Duration,Fixed-term Contract,åremålet,the fixed term,
Contract Duration,Fixed-term Contract,åremålsstillingen,the fixed term position,
Contract Duration,Fixed-term Contract,åremålsperiode,fixed term period,
Contract Duration,Fixed-term Contract,åremål,fixed term,
Contract Duration,Fixed-term Contract,åremålsperioder,fixed term periods,
Contract Duration,Fixed-term Contract,åremålsstillinger,fixed term positions,
Contract Duration,Fixed-term Contract,åremålsperiodar,fixed term periods,
Workplace Attributes,Social Environment,vennlige kolleger,friendly colleagues,
Workplace Attributes,Social Environment,arbeidsmiljø,work environment,
Workplace Attributes,Social Environment,hyggelige medarbeidere,pleasant employees,
Workplace Attributes,Social Environment,hyggelig kollegaer,nice colleagues,
Workplace Attributes,Social Environment,hyggelige arbeidskollegaer,pleasant work colleagues,
Workplace Attributes,Social Environment,godt salgsmiljø,good sales environment,
Workplace Attributes,Social Environment,trivelige kolleger,pleasant colleagues,
Workplace Attributes,Social Environment,herlege kollegaer,lovely colleagues,
Workplace Attributes,Social Environment,positivt miljø,positive environment,
Workplace Attributes,Social Environment,dedikerte kollegaer,dedicated colleagues,
Workplace Attributes,Social Environment,entusiastiske kolleger,enthusiastic colleagues,
Workplace Attributes,Social Environment,entusiastiske kollegaer,enthusiastic colleagues,
Workplace Attributes,Social Environment,energiske kollegaer,energetic colleagues,
Workplace Attributes,Social Environment,inspirerande kollegaer,inspiring colleagues,
Workplace Attributes,Social Environment,hjelpsomme kolleger,helpful colleagues,
Workplace Attributes,Social Environment,trivlige kollegaer,pleasant colleagues,
Workplace Attributes,Social Environment,hyggelige kollegaer,nice colleagues,
Workplace Attributes,Social Environment,hjelpsame kollegaer,helpful colleagues,
Workplace Attributes,Social Environment,hyggjeleg miljø,pleasant environment,
Workplace Attributes,Social Environment,humørfylte kollegaer,moody colleagues,
Workplace Attributes,Social Environment,flotte kolleger,great colleagues,
Workplace Attributes,Social Environment,godt bedriftsmiljø,good business environment,
Workplace Attributes,Social Environment,godt arbeidsmilj,good working environment,
Workplace Attributes,Social Environment,hyggjelege medarbeidarar,pleasant employees,
Workplace Attributes,Social Environment,godt felleskap,good community,
Workplace Attributes,Social Environment,fantastiske kollegaer,wonderful colleagues,
Workplace Attributes,Social Environment,begeistra kollegaer,excite colleagues,
Workplace Attributes,Social Environment,hyggjeleg kollegaer,pleasant colleagues,
Workplace Attributes,Social Environment,hyggjelege kollegaer,pleasant colleagues,
Workplace Attributes,Social Environment,godt arbeidsklima,good working climate,
Workplace Attributes,Social Environment,godt utviklingsmiljø,good development environment,
Workplace Attributes,Social Environment,trivelege kollegaer,pleasant colleagues,
Workplace Attributes,Social Environment,vennlege kollegaer,friendly colleagues,
Workplace Attributes,Social Environment,hyggelig miljø,pleasant environment,
Workplace Attributes,Social Environment,godt arbeismiljø,good working environment,
Workplace Attributes,Social Environment,dedikerte kolleger,dedicated colleagues,
Workplace Attributes,Social Environment,fantastiske kolleger,wonderful colleagues,
Workplace Attributes,Social Environment,godt salsmiljø,good hall environment,
Workplace Attributes,Social Environment,kjekke kollegaer,handsome colleagues,
Workplace Attributes,Social Environment,supre kollegaer,great colleagues,
Workplace Attributes,Social Environment,godt kollegamiljø,good colleague environment,
Workplace Attributes,Social Environment,humørfylte kolleger,moody colleagues,
Workplace Attributes,Social Environment,herlige kolleger,lovely colleagues,
Workplace Attributes,Social Environment,hyggjelege arbeidskollegaer,pleasant work colleagues,
Workplace Attributes,Social Environment,trivelig arbeidsplass,pleasant workplace,
Workplace Attributes,Social Environment,flotte kollegaer,great colleagues,
Workplace Attributes,Social Environment,inspirerende kolleger,inspiring colleagues,
Workplace Attributes,Social Environment,engasjerte kollegaer,committed colleagues,
Workplace Attributes,Social Environment,hyggelige kolleger,nice colleagues,
Workplace Attributes,Social Environment,triveleg miljø,pleasant environment,
Workplace Attributes,Social Environment,godt arbeidsfelleskap,good working relationship,
Workplace Attributes,Social Environment,godt kollegafellesskap,good community of colleagues,
Workplace Attributes,Social Environment,godt samarbeidsklima,good collaborative climate,
Workplace Attributes,Social Environment,godt miljø,good environment,
Workplace Attributes,Social Environment,godt arbeidsmiljlø,good working environment,
Workplace Attributes,Social Environment,hyggelige arbeidskolleger,pleasant work colleagues,
Workplace Attributes,Social Environment,triveleg arbeidsplass,pleasant workplace,
Workplace Attributes,Social Environment,trivelig miljø,pleasant environment,
Workplace Attributes,Social Environment,motiverte kolleger,motivated colleagues,
Workplace Attributes,Social Environment,godt arbeidsmilø,good working environment,
Workplace Attributes,Social Environment,kjekke kolleger,handsome colleagues,
Workplace Attributes,Social Environment,motiverte kollegaer,motivated colleagues,
Workplace Attributes,Social Environment,hjelpsomme kollegaer,helpful colleagues,
Workplace Attributes,Social Environment,trivelige kollegaer,pleasant colleagues,
Workplace Attributes,Social Environment,stabilt miljø,stable environment,
Workplace Attributes,Social Environment,begeistrede kollegaer,excited colleagues,
Workplace Attributes,Social Environment,godt kollegium,good college,
Workplace Attributes,Social Environment,godt samarbeidsmiljø,good collaborative environment,
Workplace Attributes,Social Environment,hyggelig kolleger,nice colleagues,
Workplace Attributes,Social Environment,herlige kollegaer,lovely colleagues,
Workplace Attributes,Social Environment,godt arbeidsmijlø,good working environment,
Workplace Attributes,Social Environment,energiske kolleger,energetic colleagues,
Workplace Attributes,Good Colleagues,entusiastiske medarbeidarar,enthusiastic employees,
Workplace Attributes,Good Colleagues,kompetente tilsette,competent employees,
Workplace Attributes,Good Colleagues,inspirerte medarbeidarar,inspired employees,
Workplace Attributes,Good Colleagues,serviceinnstilte kollegaer,service minded colleagues,
Workplace Attributes,Good Colleagues,erfarne kolleger,experienced colleagues,
Workplace Attributes,Good Colleagues,humørfylte medarbeidarar,cheerful employees,
Workplace Attributes,Good Colleagues,godt faglig,well professionally,
Workplace Attributes,Good Colleagues,framoverlente medarbeidarar,forward-leaning employees,
Workplace Attributes,Good Colleagues,begeistrede kollegaer,excited colleagues,
Workplace Attributes,Good Colleagues,kreative medarbeidarar,creative employees,
Workplace Attributes,Good Colleagues,dyktige kolleager,talented colleagues,
Workplace Attributes,Good Colleagues,ansvarsbeviste medarbeidarar,certified employees,
Workplace Attributes,Good Colleagues,handlekraftige medarbeidere,energetic employees,
Workplace Attributes,Good Colleagues,entusiastiske kollegaer,enthusiastic colleagues,
Workplace Attributes,Good Colleagues,dedikerte medarbeidarar,dedicated employees,
Workplace Attributes,Good Colleagues,arbeidsomme medarbeidere,hard-working employees,
Workplace Attributes,Good Colleagues,talentfulle medarbeidere,talented employees,
Workplace Attributes,Good Colleagues,hjelpsomme kolleger,helpful colleagues,
Workplace Attributes,Good Colleagues,kreative kollegaer,creative colleagues,
Workplace Attributes,Good Colleagues,utviklingsorienterte medarbeidarar,development-oriented employees,
Workplace Attributes,Good Colleagues,kreative medarbeidere,creative employees,
Workplace Attributes,Good Colleagues,hjelpsame kollegaer,helpful colleagues,
Workplace Attributes,Good Colleagues,faglig godt,professionally well,
Workplace Attributes,Good Colleagues,fagleg godt,professionally well,
Workplace Attributes,Good Colleagues,dedikerte kollegaer,dedicated colleagues,
Workplace Attributes,Good Colleagues,ambisiøse medarbeidere,ambitious employees,
Workplace Attributes,Good Colleagues,faglighet,professionalism,
Workplace Attributes,Good Colleagues,spisskompetente medarbeidere,highly competent employees,
Workplace Attributes,Good Colleagues,flinke kollegaer,good colleagues,
Workplace Attributes,Good Colleagues,dyktige fagpersoner,skilled professionals,
Workplace Attributes,Good Colleagues,godt fagleg,well professional,
Workplace Attributes,Good Colleagues,motiverte medarbeidarar,motivated employees,
Workplace Attributes,Good Colleagues,humørfylte kollegaer,moody colleagues,
Workplace Attributes,Good Colleagues,omsorgsfulle medarbeidarar,caring employees,
Workplace Attributes,Good Colleagues,sterke kollegaer,strong colleagues,
Workplace Attributes,Good Colleagues,hjelpsomme medarbeidere,helpful staff,
Workplace Attributes,Good Colleagues,vedtaksføre medarbeidarar,adopt employees,
Workplace Attributes,Good Colleagues,dyktige fagpersonar,skilled professionals,
Workplace Attributes,Good Colleagues,hyggelige kollegaer,nice colleagues,
Workplace Attributes,Good Colleagues,kompetente ansatte,competent employees,
Workplace Attributes,Good Colleagues,samarbeidsorienterte medarbeidere,cooperation-oriented employees,
Workplace Attributes,Good Colleagues,velkvalifiserte medarbeidarar,well-qualified employees,
Workplace Attributes,Good Colleagues,ambisiøse kolleger,ambitious colleagues,
Workplace Attributes,Good Colleagues,reflekterte medarbeidarar,reflective employees,
Workplace Attributes,Good Colleagues,kompetente medarbeidarar,competent employees,
Workplace Attributes,Good Colleagues,entusiastiske medarbeidere,enthusiastic employees,
Workplace Attributes,Good Colleagues,energiske medarbeidere,energetic employees,
Workplace Attributes,Good Colleagues,ansvarsbeviste medarbeidere,certified employees,
Workplace Attributes,Good Colleagues,kunnskapsrike medarbeidarar,knowledgeable employees,
Workplace Attributes,Good Colleagues,dyktige arbeidskollegaer,skilled work colleagues,
Workplace Attributes,Good Colleagues,dyktige kollegaer,skilled colleagues,
Workplace Attributes,Good Colleagues,flinke medarbeidarar,good employees,
Workplace Attributes,Good Colleagues,hyggelige kolleger,nice colleagues,
Workplace Attributes,Good Colleagues,energiske kolleger,energetic colleagues,
Workplace Attributes,Good Colleagues,energiske medarbeidarar,energetic employees,
Workplace Attributes,Good Colleagues,erfarne medarbeidere,experienced employees,
Workplace Attributes,Good Colleagues,engasjerte medarbeidere,engaged employees,
Workplace Attributes,Good Colleagues,humørfylte medarbeidere,cheerful employees,
Workplace Attributes,Good Colleagues,engasjerte kollegaer,committed colleagues,
Workplace Attributes,Good Colleagues,erfarne medarbeidarar,experienced employees,
Workplace Attributes,Good Colleagues,framoverlente kollegaer,forward-leaning colleagues,
Workplace Attributes,Good Colleagues,dyktige arbeidskolleger,skilled work colleagues,
Workplace Attributes,Good Colleagues,profesjonelle medarbeidarar,professional employees,
Workplace Attributes,Good Colleagues,kompetansedeling,competence sharing,
Workplace Attributes,Good Colleagues,initiativrike kollegaer,enterprising colleagues,
Workplace Attributes,Good Colleagues,flittige medarbeidarar,diligent employees,
Workplace Attributes,Good Colleagues,høykompetente medarbeidere,highly competent employees,
Workplace Attributes,Good Colleagues,faglig sterkt,professionally strong,
Workplace Attributes,Good Colleagues,serviceinnstillte medarbeidarar,service minded employees,
Workplace Attributes,Good Colleagues,motiverte medarbeidere,motivated employees,
Workplace Attributes,Good Colleagues,forretningsorienterte medarbeidarar,business-oriented employees,
Workplace Attributes,Good Colleagues,ambisiøse kollegaer,ambitious colleagues,
Workplace Attributes,Good Colleagues,hjelpsame medarbeidarar,helpful employees,
Workplace Attributes,Good Colleagues,dyktige medarbeidarar,skilled employees,
Workplace Attributes,Good Colleagues,fagmiljø,professional environment,
Workplace Attributes,Good Colleagues,velkvalifiserte medarbeidere,well-qualified employees,
Workplace Attributes,Good Colleagues,flinke medarbeidere,good employees,
Workplace Attributes,Good Colleagues,utviklingsorienterte medarbeidere,development-oriented employees,
Workplace Attributes,Good Colleagues,blide kollegaer,cheerful colleagues,
Workplace Attributes,Good Colleagues,motiverte kollegaer,motivated colleagues,
Workplace Attributes,Good Colleagues,utviklingsorienterte kollegaer,development-oriented colleagues,
Workplace Attributes,Good Colleagues,rause medarbeidarar,generous employees,
Workplace Attributes,Good Colleagues,talentfulle medarbeidarar,talented employees,
Workplace Attributes,Good Colleagues,kjekke medarbeidarar,handsome employees,
Workplace Attributes,Good Colleagues,begeistra kollegaer,excite colleagues,
Workplace Attributes,Good Colleagues,energiske kollegaer,energetic colleagues,
Workplace Attributes,Good Colleagues,engasjerte medarbeidarar,engaged employees,
Workplace Attributes,Good Colleagues,kompetente medarbeidere,competent employees,
